station_id,demand_zone,demand,tdi_score,travel_miles,demand_latitude,demand_longitude
9,3,20.74548697,7.0,2.331493841700881,35.796022,-78.64726
9,6,24.1608688,7.0,1.05570452646986,35.791378,-78.630676
9,7,24.14460321,7.5,0.7873669685091488,35.795007,-78.623949
9,8,19.93861133,11.0,1.591162966143105,35.806274,-78.617581
9,9,16.77784258,10.0,0.0,35.788577,-78.616604
9,10,12.45381589,13.5,0.570438269209498,35.78245,-78.618664
9,13,18.44200422,11.5,1.171967495325613,35.775581,-78.618035
9,26,21.68874605,6.5,2.984241940885049,35.8069,-78.650774
9,32,26.87318733,8.0,1.811840932398515,35.80713,-78.626365
9,33,23.65174423,8.0,2.864721433821548,35.812699,-78.642329
9,34,27.94294323,6.5,2.670737702644158,35.81604,-78.630656
9,35,25.07429428,10.0,1.158533402352466,35.78698,-78.600826
9,36,24.01090117,9.5,1.216095272428301,35.795362,-78.60216
9,37,32.29564325,11.0,1.942490205714802,35.796628,-78.591859
9,38,15.03047114,14.0,2.66442502925685,35.786769,-78.580104
9,39,24.01427236,13.0,1.913378693951043,35.781912,-78.591663
9,57,24.01090117,9.5,1.631571690274572,35.799055,-78.598311
9,65,35.33160674,11.0,2.850095226240772,35.79559,-78.578453
15,0,19.61753778,7.0,1.116002732811512,35.776095,-78.634539
15,1,22.22846833,7.0,2.177931520527651,35.792248,-78.654451
15,2,17.8632315,8.0,0.8892554037576051,35.776416,-78.639149
15,4,20.74548697,7.0,1.903779617789537,35.789829,-78.650014
15,5,22.22846833,7.0,1.524791571207058,35.785007,-78.653078
15,11,24.1608688,7.0,2.072820104682796,35.788525,-78.63219
15,12,12.49234293,13.5,1.238357761796704,35.774549,-78.631485
15,14,20.14753691,9.0,1.930746998385367,35.764762,-78.620896
15,15,18.14850332,13.0,0.0,35.768783,-78.64692
15,16,15.03616736,14.5,0.3998488457851961,35.768278,-78.641469
15,17,16.29455076,9.0,0.711467385382984,35.772826,-78.638525
15,27,18.35671778,8.5,2.871782556205276,35.800661,-78.649942
15,45,43.53638391,9.5,0.7697557656996268,35.769989,-78.657377
15,46,43.53638391,9.5,2.367781051970244,35.769688,-78.67939
15,66,21.67605716,7.0,2.962323558731974,35.737407,-78.65944
15,67,20.19784811,12.5,2.255470675136838,35.747754,-78.663831
15,69,18.54380382,10.0,2.598626035816435,35.740126,-78.651815
15,71,25.09072375,7.0,1.772488106875147,35.749189,-78.649806
15,73,19.2228626,12.0,1.291545926120349,35.75465,-78.650184
22,20,29.42587441,8.0,1.21580366054921,35.820326,-78.682718
22,22,21.92369805,8.5,0.0,35.808006,-78.689632
22,23,21.92369805,8.5,0.5042920583924579,35.813331,-78.687438
22,24,292.2843033,6.5,1.282386601309278,35.808131,-78.672028
22,28,22.03328538,8.0,2.139775707343384,35.803409,-78.66081
22,52,26.87318733,8.0,0.6977525287967521,35.801719,-78.684006
42,18,34.5162698,11.0,2.905044779094592,35.751809,-78.578091
42,40,36.77986697,9.0,1.189582315005649,35.72589,-78.620981
42,41,36.77986697,9.0,0.2238811453929709,35.725612,-78.606219
42,42,36.77986697,9.0,0.0,35.727841,-78.604845
42,44,28.17810397,12.0,2.827572648700724,35.697735,-78.593516
42,59,36.58574258,12.5,2.082746090421086,35.707214,-78.591799
42,60,65.42930194,9.0,2.359385299820856,35.719201,-78.57429
42,61,36.58574258,12.5,1.135141895703446,35.71948,-78.593172
42,62,29.65543429,13.0,1.909174258483401,35.736782,-78.58109
42,70,32.30161496,10.0,0.7686475658691285,35.734303,-78.611756
42,72,41.86648591,9.0,2.798071618166371,35.734581,-78.642311
